index,year,month,dow,sex,count
362,1996,Feb,Sat,F,16559
363,1996,Feb,Sat,M,17593
364,1996,Mar,Sun,F,19234
365,1996,Mar,Sun,M,20154
366,1996,Mar,Mon,F,20904
367,1996,Mar,Mon,M,21866
368,1996,Mar,Tue,F,22729
369,1996,Mar,Tue,M,23941
370,1996,Mar,Wed,F,22393
371,1996,Mar,Wed,M,23525
372,1996,Mar,Thu,F,22830
373,1996,Mar,Thu,M,23611
374,1996,Mar,Fri,F,28405
375,1996,Mar,Fri,M,29947
376,1996,Mar,Sat,F,21041
377,1996,Mar,Sat,M,22267
378,1996,Apr,Sun,F,14772
379,1996,Apr,Sun,M,15680
380,1996,Apr,Mon,F,25728
381,1996,Apr,Mon,M,26986
382,1996,Apr,Tue,F,28773
383,1996,Apr,Tue,M,30089
384,1996,Apr,Wed,F,22585
385,1996,Apr,Wed,M,23398
386,1996,Apr,Thu,F,22380
387,1996,Apr,Thu,M,23642
388,1996,Apr,Fri,F,21928
389,1996,Apr,Fri,M,23071
390,1996,Apr,Sat,F,16458
391,1996,Apr,Sat,M,17390
392,1996,May,Sun,F,15297
393,1996,May,Sun,M,15962
394,1996,May,Mon,F,19521
395,1996,May,Mon,M,20501
396,1996,May,Tue,F,22864
397,1996,May,Tue,M,23605
398,1996,May,Wed,F,28279
399,1996,May,Wed,M,30045
400,1996,May,Thu,F,28341
401,1996,May,Thu,M,29630
402,1996,May,Fri,F,28047
403,1996,May,Fri,M,29541
404,1996,May,Sat,F,16634
405,1996,May,Sat,M,17736
406,1996,Jun,Sun,F,19588
407,1996,Jun,Sun,M,20823
408,1996,Jun,Mon,F,21506
409,1996,Jun,Mon,M,22440
410,1996,Jun,Tue,F,23377
411,1996,Jun,Tue,M,24675
412,1996,Jun,Wed,F,23102
413,1996,Jun,Wed,M,24269
414,1996,Jun,Thu,F,23298
415,1996,Jun,Thu,M,24111
416,1996,Jun,Fri,F,23032
417,1996,Jun,Fri,M,24213
418,1996,Jun,Sat,F,21599
419,1996,Jun,Sat,M,22736
420,1996,Jul,Sun,F,16219
421,1996,Jul,Sun,M,17000
422,1996,Jul,Mon,F,27718
423,1996,Jul,Mon,M,29312
424,1996,Jul,Tue,F,31186
425,1996,Jul,Tue,M,32534
426,1996,Jul,Wed,F,30066
427,1996,Jul,Wed,M,31907
428,1996,Jul,Thu,F,22616
429,1996,Jul,Thu,M,23592
430,1996,Jul,Fri,F,22869
431,1996,Jul,Fri,M,24103
432,1996,Jul,Sat,F,17749
433,1996,Jul,Sat,M,18595
434,1996,Aug,Sun,F,16151
435,1996,Aug,Sun,M,17035
436,1996,Aug,Mon,F,22262
437,1996,Aug,Mon,M,23146
438,1996,Aug,Tue,F,24331
439,1996,Aug,Tue,M,25461
440,1996,Aug,Wed,F,24040
441,1996,Aug,Wed,M,25257
442,1996,Aug,Thu,F,30016
443,1996,Aug,Thu,M,31553
444,1996,Aug,Fri,F,30090
445,1996,Aug,Fri,M,31329
446,1996,Aug,Sat,F,22347
447,1996,Aug,Sat,M,23612
448,1996,Sep,Sun,F,20966
449,1996,Sep,Sun,M,21329
450,1996,Sep,Mon,F,26898
451,1996,Sep,Mon,M,28236
452,1996,Sep,Tue,F,24415
453,1996,Sep,Tue,M,25770
454,1996,Sep,Wed,F,24929
455,1996,Sep,Wed,M,25896
456,1996,Sep,Thu,F,24736
457,1996,Sep,Thu,M,25665
458,1996,Sep,Fri,F,24653
459,1996,Sep,Fri,M,25542
460,1996,Sep,Sat,F,18741
461,1996,Sep,Sat,M,18861
462,1996,Oct,Sun,F,15616
463,1996,Oct,Sun,M,16199
464,1996,Oct,Mon,F,21350
465,1996,Oct,Mon,M,22288
466,1996,Oct,Tue,F,30265
467,1996,Oct,Tue,M,31127
468,1996,Oct,Wed,F,29262
469,1996,Oct,Wed,M,30713
470,1996,Oct,Thu,F,28278
471,1996,Oct,Thu,M,29795
472,1996,Oct,Fri,F,23056
473,1996,Oct,Fri,M,23902
474,1996,Oct,Sat,F,17112
475,1996,Oct,Sat,M,17693
476,1996,Nov,Sun,F,15072
477,1996,Nov,Sun,M,15635
478,1996,Nov,Mon,F,21371
479,1996,Nov,Mon,M,22156
480,1996,Nov,Tue,F,23686
481,1996,Nov,Tue,M,24516
482,1996,Nov,Wed,F,22217
483,1996,Nov,Wed,M,23196
484,1996,Nov,Thu,F,20976
485,1996,Nov,Thu,M,21823
486,1996,Nov,Fri,F,27320
487,1996,Nov,Fri,M,28867
488,1996,Nov,Sat,F,20979
489,1996,Nov,Sat,M,21865
490,1996,Dec,Sun,F,19173
491,1996,Dec,Sun,M,20169
492,1996,Dec,Mon,F,27072
493,1996,Dec,Mon,M,28291
494,1996,Dec,Tue,F,28177
495,1996,Dec,Tue,M,29306
496,1996,Dec,Wed,F,20815
497,1996,Dec,Wed,M,21784
498,1996,Dec,Thu,F,22456
499,1996,Dec,Thu,M,23512
500,1996,Dec,Fri,F,22953
501,1996,Dec,Fri,M,24064
502,1996,Dec,Sat,F,16915
503,1996,Dec,Sat,M,18030
504,1997,Jan,Sun,F,14744
505,1997,Jan,Sun,M,15536
506,1997,Jan,Mon,F,20400
507,1997,Jan,Mon,M,21328
508,1997,Jan,Tue,F,22775
509,1997,Jan,Tue,M,23574
510,1997,Jan,Wed,F,26191
511,1997,Jan,Wed,M,26990
512,1997,Jan,Thu,F,26871
513,1997,Jan,Thu,M,28064
514,1997,Jan,Fri,F,28048
515,1997,Jan,Fri,M,28991
516,1997,Jan,Sat,F,16379
517,1997,Jan,Sat,M,17608
518,1997,Feb,Sun,F,14931
519,1997,Feb,Sun,M,15596
520,1997,Feb,Mon,F,20525
521,1997,Feb,Mon,M,21380
522,1997,Feb,Tue,F,22434
523,1997,Feb,Tue,M,23653
524,1997,Feb,Wed,F,22496
525,1997,Feb,Wed,M,23528
526,1997,Feb,Thu,F,22391
527,1997,Feb,Thu,M,23400
528,1997,Feb,Fri,F,22756
529,1997,Feb,Fri,M,24123
530,1997,Feb,Sat,F,16726
531,1997,Feb,Sat,M,17856
532,1997,Mar,Sun,F,18700
533,1997,Mar,Sun,M,19336
534,1997,Mar,Mon,F,26372
535,1997,Mar,Mon,M,27270
536,1997,Mar,Tue,F,23340
537,1997,Mar,Tue,M,24442
538,1997,Mar,Wed,F,22866
539,1997,Mar,Wed,M,23808
540,1997,Mar,Thu,F,22513
541,1997,Mar,Thu,M,23821
542,1997,Mar,Fri,F,22551
543,1997,Mar,Fri,M,23652
544,1997,Mar,Sat,F,20993
545,1997,Mar,Sat,M,21819
546,1997,Apr,Sun,F,14768
547,1997,Apr,Sun,M,15095
548,1997,Apr,Mon,F,20881
549,1997,Apr,Mon,M,21557
550,1997,Apr,Tue,F,28148
551,1997,Apr,Tue,M,29746
552,1997,Apr,Wed,F,28069
553,1997,Apr,Wed,M,29775
554,1997,Apr,Thu,F,22729
555,1997,Apr,Thu,M,23969
556,1997,Apr,Fri,F,22375
557,1997,Apr,Fri,M,23521
558,1997,Apr,Sat,F,16554
559,1997,Apr,Sat,M,17272
560,1997,May,Sun,F,15263
561,1997,May,Sun,M,15848
562,1997,May,Mon,F,20278
563,1997,May,Mon,M,21246
564,1997,May,Tue,F,23200
565,1997,May,Tue,M,24118
566,1997,May,Wed,F,23208
567,1997,May,Wed,M,24767
568,1997,May,Thu,F,29256
569,1997,May,Thu,M,30743
570,1997,May,Fri,F,29038
571,1997,May,Fri,M,30416
572,1997,May,Sat,F,21061
573,1997,May,Sat,M,22158
574,1997,Jun,Sun,F,18972
575,1997,Jun,Sun,M,20206
576,1997,Jun,Mon,F,26948
